Tudósok;és a fiúk
Aurevoir.;and the parazol
Parno Graszt;& the slepp
Kerekes Band;és a sleppje
Bohemian Betyars;kvartett
Esti Kornél;orkesztra
Csaknekedkislány;orchestra
Ivan & The Parazol;kvintett
Carson Coma;kamarazenekar
Elefánt;trió
30Y;duó
Vad Fruttik;és a fa
Kiscsillag;és a turbina
Krúbi;és a rézangyalok
Quimby;& dö rántotthús
Bëlga;& the love band
Hűvös;és a pánik
Raklap;& döglégy
Barkóczi ;Vasútállomás
Fiúk;Liget
Péterfy Bori ;Balaton
Galaxisok;Noémi
Hiperkarma;Eszter
Bródy János;Péter
Blaha;Iván
Beton;Agócs
Analog ;Ézsiás
Kollár-Klemencz ;és a fluktuáció
Sisi;áporodottság
Doggos;csemegeüzlet
Cserihanna;.Hofi
Selah Vie;Móricz  körtér
Bongor;Gellért tér
Kubalibre;út
Frenk;Műegyetem
Duckshell;budai hídfő
Lil Frakk;metromegálló
Szűcs;Gyógyfürdő
Óriás;Döbrentei
Paso;Clark Ádám
Eartheater;szécsényi
Red Axes;yászaih
Krúbi;newgatih
Elefánt;Oktogon
Analog Balaton;Király
Co Lee;Wesselényi
Parno Graszt;lujziana
Call Super;Rákóczi 
Nicola Cruz;Harminckettesek
Blawan;negyed
Chlär;körút
Sisi;Boráros 
Hundred ;Közvágóhíd
New ;Corwin
Juhász Zoli;Fossils
WAVY;Sins
Lenkke;zenekar
Hakumba ;Maffia
Zokni ;Klubja
Kaktuszok ;Tészta
Galaktikus ;Unikornisok
Utópikus ;Tengerimalacok
Titkos Táncoló ;Virtuózok
Villámhárfa ;Cirkáló
Csillagpor ; Káposzta
Kozmikus;Rénszarvasok
Robot ;Egerészölyv
Elektromos ; Zombik
Zenei ;Zabáló
Abszurd ;Albatrosz
Párhuzamos ;Pálinka
Mágikus ;Mézeskalács
Bohócok ;a Bárkából
Kvazar ;a klubból
Űrhajós ;a sarokról
Plazma ;a közértből
Neptun ;Kvartett
Galaxis ;Üstökösök
Interstelláris Ibolya;fa
Kvarc Kviddics Klub;méz
Pszeudo ;cukor
Quantum;Puding
Retro ;Nudisták
Supernova ;Gördeszkások
Telepatikus ;és a Bergendy
Ugráló ;Pszichedelikus
Vízalatti ;Rágógumi Rapszódia
Wifi ;Szandál
Xilofon ;Tengeri Teknősök
Yakety ;Űrkutya
Zengő ;Vuvuzela
Alfa Alföldi Alienek;Xénia
Béka Bajnokok;Wombat
Cipőfűző ;Zéró Zebra
Digitális ;Csavarodás
Éteri ;Dínók
Fényév ;Énekesmadarak
Görögdinnye ;Fagylalt
Hipnózis;Gravitáció
Idegen; Hamburger
Zokninator;Időutazók
Kaktusz;Klubja
Buborék;Brigád
Pálinka;Patika
Unikornis;Ügető
Tofu;Tigris
Szőrös;Szonáta
Kávé;Kórus
Pörkölt;Pánkok
Űr;Palánkok
Neon;Narancsvirágzás
Zab;zajok
Villám;gyíkok
Gummi;Üvöltések
Pixel;Cirkálók
Tipegő;Banda
Űrlény;Rig
Csillag;Szambázók
Bolygó;Garazsak
Robot;Majális
Szupernóva;Beatz
Galaxis;Pszichedelik
Meteor;Téglák
Kvantum;Rémálmok
Fényév;Zsiráfok
Hiperhurok;Vurstli
Űrkutya;Kukoricák
Napkitörés;Orgazmus
Galaktikus;Lábujjak
Csillagpor;Lábképek
Bőrnyakú ;Fideath
Csavargó ;Bárók
Villám ;Függönyök
Pesti ;Tipegések
Táncoló ;Topogások
Régi ;Rizzek
Zöld ;Blues Band
Buborék;Papucsok
Vándor ;Művek
Kozmikus ;
Szellem ;
Lángoló ;
Űrkorszak ;
Bársony ;
Füstös ;
Titkos ;
Mágikus ;
Hangoló ;
Retro ;
Pszichedelikus ;
Illés;
Omega;
Metro;
LGT;
Beatrice;
Piramis;
Hobo ;
Mobil;
Edda;
Bikini;
Skorpió;
Korál;
Zorall;
Omen;
Beatrice;
Demjén ;
Fonográf;
Moby ;
Karthago;
Tűzkerék;
Lopunk;
Mesterházy;
Gyurcsány;
Orbán;
Mészáros;
Gyulyás;
Paprika;
Paradicsom;
Gecó;
Fák;
fiúk;
Csupor;
Kristály;
Globális;
Sötét;
Dagadt;
Kófic;
Kriskó;
Mészáros ;
Vitáris;
Agócs;
Fekete;
